full_name,sha,success
codeintegrity-ai/mutahunter,f889227782892724393f416ced724497ca72aae6,Yes
codematrixer/hmdriver2,c0d07532fd1dd878f83f95a4d543a9281cc344ad,Yes
codeskyblue/tidevice3,d83c345b2c5216c82baafb8e3c09574f8020ff00,Yes
codeskyblue/uiautodev,eb8577b48bcf3dc524ccbdfc4bc7b0f0ba3e4862,Yes
Codium-ai/AlphaCodium,eb7577dbe998ae7e55696264591ac3c5dde75638,Yes
Codium-ai/cover-agent,5c4b8878943df9a85d5d71b43d294e299b564110,Yes
COLA-Laboratory/TransOPT,de8bf397d59b5f30a411accba45d2ece2a079756,No
Comfy-Org/comfy-cli,7711db0e0ccca10fe980c588e4d41696a63a7efa,Yes
CompEpigen/figeno,14b904ae291728ca12780fcf8205212b9681dad0,Yes
computer-agents/agent-studio,d7f6cb59d13b106da85eff23f9d04698dc9a56a8,Yes
cosmic-cortex/mlfz,5bf8d2ada262f95ab165f023cd7f8ba5a97f880c,Yes
cremebrule/digital-cousins,49400bb4aca50eea97490c9c9f1b4431e50792dd,Yes
crewAIInc/crewAI-tools,8739359d3153823df656228dc287914ceae513fc,Yes
cvg/nerf-on-the-go,3659e7c3b5e71fb07be89980b99ef72526fb7099,Yes
D-Star-AI/dsRAG,2d5431aa9ae2b64279dc38f429e0a0d48c53bdef,Yes
D4Vinci/Scrapling,012820c6350282099219a5320196f46895f59c5a,Yes
DAGWorks-Inc/burr,79137e3d121c2f3acd923fb81e3253fd2f02cf22,Yes
dai-motoki/zoltraak,4dce44df3fb2cd24822aecea941d15bd914c6374,Yes
darrenburns/posting,94feabc232da078c8cc9194e5259c3cd2206cfbb,Yes
DataformerAI/dataformer,0cf88cc22a20a6d5d115773ae9aac8970d7812e3,Yes
daxa-ai/pebblo,e67b01121b7140ae6448941fb10c2f257515d1b0,Yes
daya0576/beaverhabits,c012577267047527362cfc0c9cfc17003b9212af,Yes
dbos-inc/dbos-transact-py,d6c6ac62b317f123e52bdc361aeffd73a6ac65cc,Yes
deepsense-ai/db-ally,26033f72ab217e7ea20306081453b3414f841189,Yes
dendrite-systems/dendrite-python-sdk,27c9dab6baae53aabf65cf57615b6162397c64b2,Yes
denser-org/denser-retriever,76256ee93af9c27eac5882513b35359141da327b,No
dingo-actual/infini-transformer,08d0a128710cd37da3e7be15f00ec683716aea0f,Yes
discord/access,19e9b1d5d295467c98f6a13fe43e4cdb5d7dfdd1,Yes
dleemiller/WordLlama,e38d4760a7e974d02d2556148d95b9053555d82d,Yes
dongxuyue/Open-ReplaceAnything,83f0ae85ca216b5538377fb9bb89423c2aa7db46,No
dottxt-ai/outlines-core,31ab9f1d08d9eed566ad9bef2a7a39a37f39b125,Yes
dottxt-ai/prompts,3d2689ad7c388af3ab603aa374a51ca66d9eb915,Yes
dreadnode/rigging,82ac80fe77e194f0656b4c14c4454c65e07c9b38,Yes
droid-dataset/droid_policy_learning,205ff6b7ce00db271a3f729d3261a828fdc47fd2,Yes
DS4SD/docling,aee9c0b324a07190ad03ad3a6266e76c465d4cdf,Yes
dynamiq-ai/dynamiq,6cca1ca29ebfe9517e61ddd7f2b54268ee025829,Yes
eakmanrq/sqlframe,61fda5dde52a8615019c863d76484cb2615ab0be,Yes
EleutherAI/sae,0483b52e0e2bf17daa1bf27da19f6482f47a7823,Yes
emcf/thepipe,02e397710bfae10a5b764c2b455d0d3697cb2376,Yes
Emerging-AI/ENOVA,b3661d06064ba1a46417f24c9e8ee8dec7e2fa03,Yes
EnhancedJax/Bagels,d72d7fb5442f2b478741f1125a706fc9e3ad999e,Yes
enoch3712/ExtractThinker,4872a7f3a95209944abb632d6abb3c3ed2139d3d,No
epic-open-source/seismometer,b3e812fdc7ea475de9991bedc493897d0215659a,Yes
epistoteles/TensorHue,1564fa78a8313586c981204145fd71fb501bbfae,Yes
epogrebnyak/justpath,0aca516bba87253e19e8dc09ca17685e749c6a4f,Yes
erezsh/reladiff,d8683b232fe6b0ae2930c386c02cb43dd71bbff9,Yes
etianen/logot,54e5ef74a31ae7447a97621af8deda5489e2c4fa,Yes
expectedparrot/edsl,aa7a2dc169cd54539d3b08d99d5c268274ebfe40,No
explosion/spacy-layout,64c6f4aab7c2f3585c2b272bb98d8b3ccc038b61,Yes
facebookresearch/audioseal,ea10f5da2bb4431a4efee9452ed35db6ffaf83cf,Yes
facebookresearch/lightplane,34fe6c6392028b2993613d4ceeeeec2abadbc1c9,Yes
facebookresearch/spiritlm,52fb2f4d585811450f192732a1c81760208b9fd0,Yes
FalkorDB/GraphRAG-SDK,250ebec4c7d052248d27ca8c31f369c59a40ff78,Yes
Fanqi-Lin/Data-Scaling-Laws,bd6941edea44a72611f585a23cf219f402bbaafc,No
fastapi/fastapi-cli,bc08401cf9c030dff0070dd9b944bf9f13bfd225,Yes
fedirz/faster-whisper-server,cbb6c9284f626a7e708d5db8505297419a99154a,Yes
felafax/felafax,34a4758ad2329f97ebc6d4e60cd7b85be7b98e34,Yes
filipstrand/mflux,627398f531b10f447406377355aad8f1665c6805,Yes
FlagOpen/FlagGems,ca13b7eba4482207e85f0c8100f41682560491d0,No
fmind/cookiecutter-mlops-package,00fef7106e4abd8ddc7a1625ebe7342fcb145f6c,Yes
foundation-model-stack/fms-fsdp,408c7516d69ea9b6bcd4c0f5efab26c0f64b3c2d,Yes
fpgmaas/cookiecutter-uv,90de47109fdfc8406847e4033a351a0118a4f7cd,Yes
frdel/agent-zero,3cefa150c36f6872bd9e78bb1e35aaeff38bc7be,Yes
frostming/tetos,106ea5cff843fddda0ee3ea0f6e0d41a2233c523,Yes
Fugaku-LLM/DeepSpeedFugaku,74753f95e34cdde9321bd9788c4bacdc1ed00fdb,No
gauge-sh/bridge,8b34304e7db5ac888b26b4aebdb9102ea282f874,Yes
Genentech/gReLU,efd30819a894c10d7dfda2a111f85825240d52c9,Yes
genomoncology/FuzzTypes,d962438ef706d189a0bf18b4b4129a72dee436c5,Yes
getludic/ludic,a6db96340602a4bd8a507e70d3e8321b1a1bcde1,Yes
getzep/graphiti,9f3dd5552a611b7c329e3c1c7d1254102ad2e40a,Yes
GigaxGames/gigax,c3c209de6290f9f3f2f9395625bb2e8094122531,Yes
gojasper/flash-diffusion,48e3bcd654d98be3891e1e02cf215ae6218f924b,Yes
gomate-community/rageval,01e2580efe714b3130602e02a7e7b017d16d79a2,Yes
gomate-community/TrustRAG,1334c44a05a32ccc3fcd0eb9f1111eee05c65da6,Yes
google-deepmind/nanodo,10aefdeed40a63293daf112b91a5538cd24fa3a4,Yes
google-deepmind/penzai,fda6cd1e6883348ce7ff705d78149bc19631e93a,Yes
google-deepmind/treescope,dac18b2ace0badf70b6fb887170bed4c6424bf06,Yes
google-research/timesfm,02bc2f2212887b2e3915b934b7af3347701bcf29,Yes
goombalab/hydra,b6b9b799541826755f6f9edcc645afc2438e9ea0,Yes
gpustack/gpustack,4f0c6750d3f4fb2d7b7663548a9d296b8ce9ca7d,Yes
gregpr07/browser-use,5e545d7242762b1bcc014aaabe641e72c161f6f8,Yes
groq/groq-python,fa2e13b5747d18aeb478700f1e5426af2fd087a1,Yes
gusye1234/nano-graphrag,18fa3a4f23a1befb11f2d8f1d37df28671d6243e,Yes
hailo-ai/hailo-rpi5-examples,82cfc8f61508e7d4ae733e3df7c8b93fa3c51ed6,Yes
Haiyang-W/GiT,ef2b64de31b43d8cb733a64e662d37462331a6cf,No
HanaokaYuzu/Gemini-API,e8a2d232131b15a094a859827cc9a6278b2e4494,Yes
HATTER-LONG/Verbiverse,82f9889ed57e6bbb4cbc2d17f8e50e4690aee975,Yes
hinthornw/trustcall,eaaaad1f8dfc1eba22cede42b3a9bf8be99ec9d0,Yes
HKUDS/HiGPT,2b0793e7bdfda693cbe84e5bd8632a59657c72a3,No
HKUDS/UrbanGPT,be3515634c9975c2fc6aba594798a3e0fbb13e2b,No
hngprojects/hng_boilerplate_python_fastapi_web,bc974027781b29b0dcee8d0cabaf00115fc620eb,Yes
hpcaitech/Open-Sora,38de637cab331ca106d67467b63f66fc71678391,Yes
hpcaitech/SwiftInfer,239fd3a80a4a35e52cb8a99f959a451229782532,No
hrnoh24/stream-vc,faa629f54dfd518702fb0d78018340b87fdebbd1,Yes
huchenlei/ComfyUI_omost,7ef00dd99450bd5e95b5e8da1524df98655cbc01,Yes
huggingface/lerobot,4c41f6fcc624e1e495daf1d319034148df3f6793,Yes
huggingface/lighteval,6ad7276e07efb3b383e6da42019f3e729c45a8e8,Yes
HZAI-ZJNU/Mamba-YOLO,ea97fccf066e62779e588d9c4e676aa086ffa667,No
IAAR-Shanghai/Grimoire,3fe89d2c9622fd6ef71a964a4a40aa11e2b069db,Yes
ib-api-reloaded/ib_async,38cf54a66a4daefbd3fd1d7476381f0d178a8198,Yes
IBM/fastfit,3966113090ec7e8732be3bb48ca6b775d6c203c9,Yes
IBM/terratorch,16e5af99b4b8ddb830ef1c6c3184916d3a74d107,Yes
IEIT-Yuan/Yuan2.0-M32,b403a2beb2746c0c923b4eb936fe1e2560c83b19,No
igorbenav/fastcrud,dc831b113302909db17dc61982cf217fb34005f3,Yes
igorbenav/SQLModel-boilerplate,2ead0414113a4f5b2b28183cef427c4e5b864284,Yes
igrek51/wat,0d60790bc232b20514f8096f157423c6117c51a2,Yes
illuin-tech/colpali,e45c4cc180ccfebd178997b34a569c8293b8bb8c,Yes
illuin-tech/vidore-benchmark,469665d6286f04a4ae09ed7c31dc66dfb44e727a,Yes
Indoxer/LKAN,16c48efa4eb8ccf83fa1c7ce11885d08629861c3,No
Infini-AI-Lab/Sequoia,6880792110134013ca4f51ba2efff004e1dd1054,No
instanseg/instanseg,0df8b263109b47b106900aef4b2ceca0129ffbb4,Yes
instructlab/instructlab,c978b2928c767cd14b221a965bdb5864c128d05c,Yes
Integuru-AI/Integuru,928e8285b5d6204dd30dec8fc7a56aabb53ba2a1,Yes
InternLM/InternEvo,5ad2eb02fb5be2196e505600fef459185070d1e3,Yes
invariantlabs-ai/invariant,81547a0d78a13951a6e415b9cd839d0ab68c6645,Yes
IST-DASLab/PanzaMail,b1807c814a4877daba040e09239849e7513135fb,Yes
iterative/datachain,b67d599df627b47feec2bc7a30938e0f1a602edb,Yes
IvanDrokin/torch-conv-kan,7a0e83c3b55981e530dc83ad44ecc4d24beb5d20,Yes
jahwag/ClaudeSync,0006331542ed35956bfb80c50bd6f3b141348d9a,Yes
jgravelle/pocketgroq,e995c4146b88e21a9e8a45aa45b11c3e30239685,Yes
jhj0517/AdvancedLivePortrait-WebUI,a7975cac39e3ab2573f52629df56a0f4d7521ecd,Yes
jina-ai/late-chunking,db558c313a63a6b6f575281be9a3a87ad0fc1d4b,Yes
jlowin/fastmcp,baa30086dad60a7dd530faee809d36d6ff7f5fa4,Yes
jmschrei/tangermeme,a96897f3c78281d1f83ab0d4f3011af57aef4b32,Yes
jonbarron/camp_zipnerf,8e6d57e3aee34235faf3ef99decca0994efe66c9,Yes
JosephBARBIERDARNAL/pypalettes,826930e1162dade99f31582af0cb00cc0d0e4261,Yes
JoshuaC215/agent-service-toolkit,c72f48827240cb71e066f28cad03d34ad6fac300,Yes
jshuadvd/LongRoPE,eb9abaaf5fe57eb94025d568d63d3c49d9cba746,Yes
jxnl/n-levels-of-rag,2ce1106b0163d11fcf7959187b42f0d3a67fbe05,Yes
karpathy/minbpe,1acefe89412b20245db5a22d2a02001e547dc602,Yes
kennethreitz/simplemind,39b5a5e19d536dcccb28df5ba245708884df74e5,Yes
kevinzakka/mink,cf1a302ff31b1f620abecdcbdebfd2c42d125a54,Yes
knowsuchagency/promptic,a1930cdb8e8d1a595a7f554ec16867f8ea1324da,Yes
koaning/uvtrick,2d7f279fd9915d981d4dda28c4361d6241134055,Yes
kohjingyu/search-agents,7c35ac9eb7fda663d821449efdfd44d360fd0e18,No
KOSASIH/pi-nexus-autonomous-banking-network,7fcff4ba2f5703436709a8b6ce613a6365040302,No
kotaro-kinoshita/yomitoku,71c85bc77a5ed238f382f51adeb208ecef4cefb4,Yes
KruxAI/ragbuilder,db3d3dcc73c1e156029daa21cbb6d2449713114c,No
kujirahand/tkeasygui-python,b1f2931fce742b97adcf72339d977142ad8887c7,No
KyanChen/RSMamba,3fa3056316f1412851e484384e9f206e0a11bf2b,Yes
kyegomez/MultiModalMamba,58db40bcbd2e957c7981b6eed6de165b6a5ccd42,No
landing-ai/vision-agent,63eab8673e827afd0e50137574a69d7c3964eeeb,Yes
langchain-ai/langchain-postgres,064e5b9506da5f18cb1ccfdcca8ee54f2a089524,Yes
lavague-ai/LaVague,b3557f8f350037e42acec5614135894796432c2c,Yes
LazyAGI/LazyLLM,e0dd386dce8b73f1891a25ffff8c88ea49be3afe,No
lenML/Speech-AI-Forge,0b31b2238d994d07f54723f4f2dce4afb0fcdc44,Yes
leopiney/neuralnoise,c0313feb10b4474ed4418d2aeef24b48649c641b,Yes
lichao-sun/Mora,7a030e29b65c188fa87ca8c972b95e6cb0086e33,No
Lightning-AI/litdata,0a97def7eaaa8c38072da62e470cde8dfb7d3932,Yes
lightonai/pylate,8de1842f1dac3c80108843b1676cffe500b1a793,No
LilianHollard/LeYOLO,872841b15fd5ee3296a9c844bcbfb8d0b9745cee,Yes
line/lighthouse,ba9da7228c2221f3c14ce3bbec0aa70bfd12d31c,Yes
LlmKira/fast-langdetect,5728ba917383c45a08c8ac1cdab255c7c546435c,Yes
LMCache/LMCache,7d344359cdcdcb955924c77afe4a0d2fbe050fc6,Yes
lmstudio-ai/mlx-engine,daeb7a877da83f6cbca23a03ef6370fd1bf1e56a,Yes
lmstudio-ai/venvstacks,235ce3b5ff2c323a6139d3a8ef66ad735dfcd69b,Yes
lucasdelimanogueira/PyNorch,ed391e740c41806bf8e34265b8b1572b8f34d372,Yes
LucasFaudman/apkscan,3b3e622196e07566e630e3ad6687dc7574edf51b,Yes
lucidrains/alphafold3-pytorch,49f7c967e8586b9f57bdb95e82068fabda815689,Yes
lucidrains/infini-transformer-pytorch,5774bb32033c6794c8ced1905fa9d0c8a1adb025,Yes
lucidrains/pi-zero-pytorch,8ad66fdc5f5749e93beeb083b7c9146e6187d66a,Yes
lucidrains/titok-pytorch,2f95258f27797f142df0d5dc2388e034285ab7e5,Yes
lucidrains/transfusion-pytorch,16f73e17aa5deeec044f3bdc1f7d3686528da4d2,Yes
MadcowD/ell,36ca5eea1a5d4c266071d6a50848ad154034c44d,Yes
ManiMozaffar/aioclock,3d196b2642f84acdbbdca6d383f62067b33e4a9d,Yes
MaoXiaoYuZ/Long-Novel-GPT,e952ac16cfdee5ff3d978bed67312edafa7be3f8,No
Marker-Inc-Korea/AutoRAG,aa0bfbfb05ea97f10bc59f673ad060413d5eddc0,Yes
martius-lab/hitchhiking-rotations,45b49f68dd900b9c9bbc5ba98a14519c7f571484,Yes
mbodiai/embodied-agents,8715f674f16715f251f11538c183de44cf65b336,Yes
McGill-NLP/weblinx,6f2014f025de764deba3442a52db0dc43fb784d0,Yes
McGill-NLP/webllama,696a7c3664fe6610b411a16d27010055874e2714,Yes
Menghuan1918/pdfdeal,e081998afbc26c51f175e09882075c8e82316dc7,Yes
meta-llama/llama-stack-apps,f14a73c76a9e4de3f7fd5ae5d13c231bd70ec2ce,Yes
MetaGLM/zhipuai-sdk-python-v4,7ff4de5438348606b61e9eecf2feb3d856eafbc2,Yes
metavoiceio/metavoice-src,de3fa211ac4621e03a5f990651aeecc64da418f5,Yes
microsoft/aurora,8b11659b91d06f87c2d22e541dbcd0092baf2157,Yes
microsoft/graphrag,de12521405e417b08b178929b18e62fc122b1382,Yes
microsoft/MInference,7a3e5acaaf0e83105d941a4067f53020ca1eba12,No
microsoft/semantic-link-labs,8e37efd7333f43e78d3a0fc330155d4abc857567,Yes
microsoft/TinyTroupe,9b8d4e9e02bfd98ece7cee2eddaf1bc5440c8c3e,Yes
microsoft/Trace,826cf5e756001f893989e3a3ad06a8a307fcf170,Yes
mikekelly/AgentK,e9ec892bddeb0b9afd77fbb130f0a89c5b715cb7,Yes
Mindinventory/MindSQL,3d0ff020f55a0ae7c49593e42a388f1d321d6f0b,Yes
MinishLab/model2vec,4e3fba3a44702c523c68ad7bd0b49fb0367909c8,Yes
miquido/draive,270f0ce1375dade2e9a54dfa4c48a7155e3bb310,Yes
mistralai/mistral-common,5cac5e1c05d9e6782bec49310e43f294649bc1e2,Yes
mistralai/mistral-finetune,656df1c94c80ca9703ebc471c9f106c9b7a0bfa7,Yes
mixedbread-ai/baguetter,a6e9156613bef9f42b08e2ca3069a818284b60ba,Yes
mixedbread-ai/batched,1a1797f6f52cdeb4e3100c38a83dee5d9311ac80,Yes
mkjt2/lockbox,58430d96d20afaa52f67e72cddd80ef56b79e7f8,Yes
mlecauchois/micrograd-cuda,ab1ca09e61c9c311fab96cbfaf52c15769e9c36f,Yes
MLT-OSS/open-assistant-api,44eeaf43042fc4cd11c9f1b4da77db26036f107e,Yes
mlx-graphs/mlx-graphs,4619d97ade4a788d1fe20b4d08b994ad56ee5ca0,No
mobiusml/gemlite,5ebcca036943e7b1929f9be4beeeb0cf8d3fd170,Yes
ModelCloud/GPTQModel,a5aefc25c92ef363da3c4800e04af6fa21c491b2,No
modelcontextprotocol/python-sdk,aaf32b530738ff79ba607c2884374243350f521c,Yes
modelscope/agentscope,ceaf899339ce6ad421a4b5df85e009ae4738d5e5,Yes
modelscope/MemoryScope,330b7660c93f2ce9402946141192e91031b7aae0,Yes
modern-python/that-depends,65e6569d69e97e7c3edecde0d817df0b77b1af8e,Yes
muchdogesec/history4feed,61418241d9ab88d774bc0e57a7cd7f4e7b247810,Yes
muditbhargava66/PyxLSTM,f3c9bb80ac62f1b19bf196ab9b8045f33e8f849a,Yes
narwhals-dev/narwhals,a2088f495a4725a1901b03621cc59a831af4c656,Yes
nasa-jpl/rosa,5471dc2d2b942bdfeab79e5e5fd56f7a98c4c966,Yes
neo4j/neo4j-graphrag-python,0ac06b7b7bd8c45737cf8232719d249297a0fc26,Yes
neuralmagic/AutoFP8,e9446102c6a9ccf148e1ba661185c60056e3ce80,Yes
neuralmagic/guidellm,ecf2984645202eea022cc7c9f245947e2dd5457d,Yes
NewT123-WM/tnlearn,50ee7596d2f77f0001d7d7c4a75e9d25528dbb63,Yes
NexaAI/nexa-sdk,33f6babe6bb2e3af7a930eff0321f612833d7262,No
nicobrenner/commandjobs,4c72648b6858e85734c02a3c33b08c0f09ef1061,Yes
Nike-Inc/koheesio,9bd29ec553cc6306520926a89d5e6405641b5994,Yes
nlmatics/nlm-ingestor,c725429dbf46d6e633965ccbc4c24c14c97c6efc,Yes
NLPJCL/RAG-Retrieval,d7305751e26525fb7d36b6a6bea4dce9153e82fc,No
nomic-ai/contrastors,496a0593453c3fc1b0dce723c176e82819afb7bb,No
NousResearch/finetuning-subnet,e2f5eb6373a417fc7c03e38adbc6cf145670ab58,Yes
NUS-HPC-AI-Lab/VideoSys,6c92ae218f72f54ab3ca08120d4eb6775a9f9a6f,No
NVIDIA/kvpress,715f8a7aae07a57b430aae8f869ac5a4c5bc48dd,Yes
NVIDIA/logits-processor-zoo,db179ad1035b37d98b8b3edae6e27aea2c05bfb0,Yes
NVIDIA/Megatron-Energon,28aa3b79f4746968c76bc2e75c8a828c73e062c5,Yes
NVIDIA/NeMo-Skills,5591f399b3263d349c6f5f5d7d635c3fb0b744e6,Yes
NVIDIA/nv-ingest,eec9fae46f215d7acfa8dd57bd8695cab271bb90,No
NVlabs/nvTorchCam,cc27be07a2e19972c43a3342571eb86f39135a6b,Yes
NVlabs/Sana,41dcbe92671682216d357c385c0d3d7dab0e8e55,Yes
NVlabs/VILA,ec7fb2c264920bf004fd9fa37f1ec36ea0942db5,No
ogkalu2/comic-translate,1933d1ff3057d0852b08603aa973c62b9f559c74,Yes
Open-Wine-Components/umu-launcher,b0c0d44e0e533b42790360d30430a69b330849d6,Yes
openai/mle-bench,51ec2b6789a5df0f902537e5b066dd0f6b8a6c2f,Yes
openai/swarm,9db581cecaacea0d46a933d6453c312b034dbf47,Yes
opendatalab/MinerU,391a99860dba33a19abf6df90234bdcee554b32a,Yes
openfoundry-ai/model_manager,34f9ffc3e1962aa87ca088203535d8d0506b4e7b,Yes
opengeos/HyperCoast,c1604cb53f3b917941c4105a157e4a1f0cb1b109,Yes
OpenInterpreter/aifs,3f74c6aaf6b1a190d99e7ab16d78163afbf1b1ca,Yes
OpenNLPLab/lightning-attention,d7439519541e966084eeaaf3ffd63eecc216f414,Yes
openpsi-project/ReaLHF,62d9cdfb0715431f21455d2d9e0535e1c1980994,Yes
openrecall/openrecall,225a2750e3122718a9bad9c4d4ba4b0e99985c00,Yes
OpenSPG/KAG,68b2c63346a01dce29fb92b2be05259a15820d30,No
orbital-materials/orb-models,25157368a47faf424e76dc05217a6f0671810297,Yes
OwlAIProject/Owl,91922655c3cbf0e5f3282c22806b5ac0cf30063e,Yes
PacktPublishing/LLM-Engineers-Handbook,ec6717fd3ef78c5b5f0efcfc207679436417bc0c,Yes
paradigmxyz/spice,e962a9c435d2f990fe5684d6a876a8b13287f5ee,Yes
patched-codes/patchwork,c9b02b065780cb9f4b6c16a2d86a2a328ffd0fc5,Yes
paulrobello/parllama,421238aeca193420ca112a7d1daadcebd323e9a4,Yes
PeiJieSun/NESCL,365d20d163024dfae5271da59a42b9ca074ace43,Yes
plinder-org/plinder,9658cc294722c164f15241f478c4e612cfa437d8,No
pomonam/kronfluence,884255f359e9b7d3d127f94c076901a838d63b09,Yes
PrefectHQ/ControlFlow,f259fa8144ed31b8bde5902a2de8548dd4601ce5,Yes
PrimeIntellect-ai/OpenDiloco,71f5c2b4aba216984d5dda947cfd42c2322e3bf3,Yes
princeton-nlp/SWE-agent,8b35715665a3e996002886ca94c603e2850fad6b,Yes
proger/accelerated-scan,db7145f89a442ff0cef076d07f2ccc93c403b1c2,Yes
