full_name,sha
whyhow-ai/rule-based-retrieval,91701f45822823d6c54cac3b526e43cdb409e4e3
whyhow-ai/whyhow,63a3c6c18e660ac5c7268159956f62db3f15a0ae
wy-z/container-vm,07d40217758b4ab800237b2c8b8ac737aba51234
xdit-project/xDiT,a7bd51915fc0b31dd0fdca30adab1fea8c2b7354
xhluca/bm25s,c4fef24f0e05bd5b0152308095c3585d2f6c9aba
yihong0618/klingCreator,e567c6a16cbeaec0411ea90bda6a0d932d3ee2a8
yihong1120/Construction-Hazard-Detection,f5e1ca28d9999fd04c12a7ef30106b14410fa6db
yurujaja/pangaea-bench,e1d12ed1e0aac945f32c8bc78e99666869f277d4
zeroasiccorp/logik,ca4bb129056c0b70a31720aec190b4670f20f238
zipnn/zipnn,187f336b6790cc66d1248befa52066937d185afd
zou-group/textgrad,b2dc68e992ad876cfacdb8ebb7f73d8865a29544
